date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2021-01-01,50.87,48.19,44.68,42.92,40.39,40.2,39.63,40.09,41.27,44.88,45.0,47.2,50.78,45.49,44.73,46.59,52.99,60.26,60.61,60.36,57.4,53.86,53.45,49.72
2021-01-02,46.69,42.43,41.09,40.0,37.55,39.0,42.09,44.96,48.45,52.0,52.0,52.15,55.95,52.0,50.69,53.45,59.99,62.0,63.08,62.17,60.03,55.03,52.25,48.45
2021-01-03,46.11,43.0,39.55,45.3,43.0,43.0,42.0,45.3,43.32,60.9,72.23,62.16,60.9,59.0,52.65,44.67,57.67,70.0,59.9,44.3,42.0,41.23,42.9,33.5
2021-01-04,41.96,39.0,37.14,35.79,36.63,41.83,38.74,41.61,60.0,64.83,60.0,58.4,59.34,58.4,59.91,59.52,62.06,67.37,61.56,42.9,41.39,42.9,41.94,40.0
2021-01-05,41.82,41.98,41.92,42.0,41.96,45.0,36.97,45.1,58.08,60.0,59.22,60.47,59.51,64.35,59.91,60.87,62.21,62.98,45.7,43.37,42.12,45.65,45.6,42.45
2021-01-06,44.62,44.7,45.27,44.08,44.33,45.79,42.16,46.11,60.1,50.0,52.4,60.0,53.2,56.22,59.94,56.91,64.0,68.83,45.48,53.68,44.24,44.9,43.6,43.6
2021-01-07,44.5,42.4,40.54,43.1,45.0,45.81,46.46,58.31,81.4,81.17,79.81,83.24,82.0,79.61,80.4,83.57,89.68,100.0,80.0,62.9,44.0,45.9,50.54,41.9
2021-01-08,45.41,42.13,42.39,42.07,43.83,48.17,57.73,74.9,103.54,110.45,109.96,106.82,102.37,97.61,95.0,95.42,95.0,110.0,87.44,56.81,45.1,44.88,46.26,43.2
2021-01-09,50.67,48.6,48.02,49.25,49.63,47.2,46.72,50.49,59.8,66.92,67.71,68.0,67.01,62.53,60.0,60.0,62.78,69.92,71.99,68.95,62.66,53.21,54.77,45.0
2021-01-10,51.72,45.73,46.3,46.39,46.3,45.35,46.3,46.1,53.13,51.88,47.2,48.1,46.3,47.81,53.18,54.85,56.52,62.09,63.41,55.24,48.05,46.94,45.02,45.1
2021-01-11,47.75,46.1,45.33,44.59,44.58,43.41,44.19,52.0,59.15,59.19,52.0,46.12,45.6,45.1,45.9,45.07,45.9,52.0,44.35,40.5,38.34,45.1,34.31,27.39
2021-01-12,24.43,24.61,19.51,24.38,27.16,36.18,47.7,60.0,62.65,83.13,71.0,57.17,58.39,53.39,49.63,53.73,68.02,87.19,62.4,53.3,53.3,54.4,48.4,45.69
2021-01-13,47.6,48.3,47.6,40.0,34.98,47.6,52.5,61.0,58.0,57.1,53.05,51.0,49.6,51.03,54.1,57.1,90.91,123.12,71.0,63.0,54.1,65.0,51.2,54.1
2021-01-14,84.9,61.05,48.18,50.13,44.0,46.84,60.04,79.9,88.82,89.27,89.63,91.05,88.75,87.1,83.98,79.96,83.42,100.1,90.16,87.7,74.58,62.74,59.82,55.6
2021-01-15,48.98,48.66,47.7,46.6,48.0,51.52,62.97,77.94,93.74,97.76,90.69,86.97,79.25,76.64,77.14,76.98,82.0,99.4,98.02,95.01,77.2,67.18,63.19,53.19
2021-01-16,50.0,50.0,48.29,49.84,49.51,48.52,47.6,49.78,60.0,63.95,59.81,60.14,48.85,45.89,47.4,50.65,57.7,65.01,66.4,63.71,53.1,51.28,53.2,47.19
2021-01-17,45.5,44.82,44.44,46.09,45.8,45.42,46.2,46.0,46.21,46.23,52.99,56.22,49.55,51.13,49.95,53.48,60.6,67.05,72.0,59.21,54.66,47.0,50.46,45.4
2021-01-18,45.3,45.83,45.59,45.94,46.31,44.94,52.0,64.38,76.4,70.1,66.37,59.6,49.71,46.0,53.0,48.4,54.54,59.94,53.31,49.78,46.6,46.0,43.78,39.08
2021-01-19,37.96,37.13,35.45,36.1,37.41,39.41,42.76,46.68,55.15,56.31,54.48,56.3,52.21,52.11,52.37,51.34,51.89,54.9,52.55,45.39,42.78,43.7,39.9,31.23
2021-01-20,31.03,28.38,26.67,25.18,28.94,31.68,43.8,53.61,61.74,63.46,51.96,59.62,57.24,51.13,44.4,43.15,44.41,56.0,57.87,54.0,47.4,44.9,42.4,30.1
2021-01-21,32.4,19.43,9.08,1.07,0.2,15.15,31.16,51.8,66.08,71.68,50.0,45.0,44.95,42.4,44.0,45.0,46.84,60.75,58.53,65.02,72.97,61.84,62.95,64.9
